altitude,machNumber,angleOfSideslip,angleOfAttack,cd,cl,cs,cmd,cml,cms
15000.0,0.555,0.0,0.0,-0.198,0.1,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,0.0,-0.2,0.0,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,1.0,-0.198,0.1,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,2.0,-0.192,0.2,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,3.0,-0.182,0.30000000000000004,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,4.0,-0.168,0.4,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,5.0,-0.15000000000000002,0.5,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,6.0,-0.128,0.6000000000000001,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,7.0,-0.10200000000000001,0.7000000000000001,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,8.0,-0.07200000000000001,0.8,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,9.0,-0.03799999999999998,0.9,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,10.0,0.0,1.0,0.0,0.0,1.1,0.0
15000.0,0.555,0.0,11.0,0.04199999999999998,1.1,0.0,0.0,1.1,0.0
10000.0,0.666,0.0,2.4,-0.198,1.1,0.22,0.22,NaN,NaN
